id,X,y
0,7644024.942031106,7644024.942031106
1,7643532.572585663,7643532.572585663
2,7643622.888874474,7643622.888874474
3,7644016.201745093,7644016.201745093
4,7643619.975445801,7643619.975445801
5,7643564.620301048,7643564.620301048
6,7643290.758005949,7643290.758005949
7,7643255.796861894,7643255.796861894
8,7642871.224277288,7642871.224277288
9,7642810.042275192,7642810.042275192
10,7643235.402861196,7643235.402861196
11,7643217.922289168,7643217.922289168
