id,SAMPLE_1,X,Y,angulo
251,518,686668.7989571041,7643864.135820025,87.94626200438866
252,489,687395.0950219521,7643139.420108521,338.0916002089759
253,496,686279.3991546107,7642862.452662148,236.96075865252277
254,508,685894.5530643259,7643604.355651075,167.61255272901266
255,515,686136.1934523298,7643492.243661793,173.97715412122923
256,517,686660.7202552379,7643892.404526758,89.09107027467452
257,514,686150.2947006592,7643559.518581202,166.38756291573372
258,492,686398.9663497716,7642686.253631492,251.28623655546443
259,504,687395.4844797323,7643667.488553282,17.210172651623665
260,502,687360.5235823725,7643621.682165815,14.588950986388971
261,511,685926.3701231617,7643465.724347169,177.78999018175742
262,512,686400.0891796105,7644194.385934023,108.51502806806124
263,515,686376.9695944374,7643869.187947466,122.6531785938174
264,492,687005.5828316535,7642838.039519023,300.41989068805697
265,499,687327.8491033408,7643435.0553162815,359.7784051029418
266,497,686959.647375103,7642954.978538012,302.38481050831786
267,510,687141.2682120432,7643906.0945558045,43.84181127299372
268,510,685917.0171766715,7643487.402403678,176.13637645598598
269,518,686493.7124576345,7643475.056652714,166.82920190793175
270,516,686266.7397523313,7643750.1851590015,141.06045661892512
271,499,686155.6351354198,7642942.665322767,224.83423538457166
272,494,686713.1048770093,7642733.579935997,274.8384308283076
273,495,686932.3919347826,7642908.076337949,297.77177120265867
274,510,686448.6967116517,7643165.618568899,233.02572932570973
275,502,686004.9618247946,7643037.929768892,211.6478344226134
276,494,686577.0153591855,7642759.322071111,263.566453472789
277,497,687009.1716630794,7642952.572284505,306.24865003662603
278,518,686632.7535389151,7643799.602212482,93.28152706784454
279,516,686740.9691633396,7643503.765095961,37.08066750821191
280,511,686718.1644097973,7644201.920965485,85.16410574619253
281,509,686456.6627132735,7643134.329813256,237.01915194773312
282,519,686406.8794950625,7643598.862738845,146.8306457232323
283,498,687436.1425081302,7643561.778556755,9.011260266800749
284,509,686840.4307837161,7644183.421588131,75.92865455738715
285,505,686917.7293139319,7643079.582419051,306.4231647124346
286,512,687137.9507262206,7644001.1871720785,49.31530932872146
287,511,687193.8966888689,7643662.875593109,22.62431833950569
288,501,686172.7483676131,7643000.196193542,222.3007606742692
289,517,686300.891180599,7643688.641133363,144.55817209145755
290,515,686242.3892459456,7643779.888627374,140.22502495147666
291,518,686628.6275789839,7643856.721511653,93.39747967946097
292,513,686424.9528277548,7644071.4496415965,109.83006953759374
293,502,686364.0432248795,7643015.641436945,235.5539920965897
294,490,686988.6496006675,7642715.525942257,294.8960072862991
295,516,686628.4463444607,7643622.141597441,97.73566573272029
